"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","RURAL_URBAN","RURAL_URBAN_NAME","RURAL_URBAN_CODE","RURAL_URBAN_TYPE","RURAL_URBAN_TYPECODE","RURAL_URBAN_SORTORDER","CELL","CELL_NAME","CELL_CODE","CELL_TYPE","CELL_TYPECODE","CELL_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2011","2011","2011","date",0,0,"1254157184","E00062207","E00062207","2011 output areas",299,0,"0","Total","0","2011 rural-urban classification",2000,0,"0","All usual residents","KS101EW0001","Variable",10000,0,"20100","Value",242,"A","Normal Value","F","Free (free for publication)","Nm-144d1d32176e0d1254157184d0d0d20100",0,35645376
"2011","2011","2011","date",0,0,"1254157184","E00062207","E00062207","2011 output areas",299,0,"0","Total","0","2011 rural-urban classification",2000,0,"0","All usual residents","KS101EW0001","Variable",10000,0,"20301","Percent",100.0,"A","Normal Value","F","Free (free for publication)","Nm-144d1d32176e0d1254157184d0d0d20301",1,35645376
"2011","2011","2011","date",0,0,"1254157184","E00062207","E00062207","2011 output areas",299,0,"0","Total","0","2011 rural-urban classification",2000,0,"1","Males","KS101EW0002","Variable",10000,1,"20100","Value",116,"A","Normal Value","F","Free (free for publication)","Nm-144d1d32176e0d1254157184d0d1d20100",2,35645376
"2011","2011","2011","date",0,0,"1254157184","E00062207","E00062207","2011 output areas",299,0,"0","Total","0","2011 rural-urban classification",2000,0,"1","Males","KS101EW0002","Variable",10000,1,"20301","Percent",47.9,"A","Normal Value","F","Free (free for publication)","Nm-144d1d32176e0d1254157184d0d1d20301",3,35645376
"2011","2011","2011","date",0,0,"1254157184","E00062207","E00062207","2011 output areas",299,0,"0","Total","0","2011 rural-urban classification",2000,0,"2","Females","KS101EW0003","Variable",10000,2,"20100","Value",126,"A","Normal Value","F","Free (free for publication)","Nm-144d1d32176e0d1254157184d0d2d20100",4,35645376
"2011","2011","2011","date",0,0,"1254157184","E00062207","E00062207","2011 output areas",299,0,"0","Total","0","2011 rural-urban classification",2000,0,"2","Females","KS101EW0003","Variable",10000,2,"20301","Percent",52.1,"A","Normal Value","F","Free (free for publication)","Nm-144d1d32176e0d1254157184d0d2d20301",5,35645376
"2011","2011","2011","date",0,0,"1254157184","E00062207","E00062207","2011 output areas",299,0,"0","Total","0","2011 rural-urban classification",2000,0,"3","Lives in a household","KS101EW0004","Variable",10000,3,"20100","Value",242,"A","Normal Value","F","Free (free for publication)","Nm-144d1d32176e0d1254157184d0d3d20100",6,35645376
"2011","2011","2011","date",0,0,"1254157184","E00062207","E00062207","2011 output areas",299,0,"0","Total","0","2011 rural-urban classification",2000,0,"3","Lives in a household","KS101EW0004","Variable",10000,3,"20301","Percent",100.0,"A","Normal Value","F","Free (free for publication)","Nm-144d1d32176e0d1254157184d0d3d20301",7,35645376
"2011","2011","2011","date",0,0,"1254157184","E00062207","E00062207","2011 output areas",299,0,"0","Total","0","2011 rural-urban classification",2000,0,"4","Lives in a communal establishment","KS101EW0005","Variable",10000,4,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-144d1d32176e0d1254157184d0d4d20100",8,35645376
"2011","2011","2011","date",0,0,"1254157184","E00062207","E00062207","2011 output areas",299,0,"0","Total","0","2011 rural-urban classification",2000,0,"4","Lives in a communal establishment","KS101EW0005","Variable",10000,4,"20301","Percent",0.0,"A","Normal Value","F","Free (free for publication)","Nm-144d1d32176e0d1254157184d0d4d20301",9,35645376
